0	-62.9979	-62.9991	-63.0003
0.01	-62.9958	-62.9982	-63.0005
0.02	-62.9937	-62.9972	-63.0008
0.03	-62.9916	-62.9963	-63.0011
0.04	-62.9895	-62.9954	-63.0013
0.05	-62.9873	-62.9945	-63.0016
0.06	-62.9852	-62.9935	-63.0018
0.07	-62.9831	-62.9926	-63.002
0.08	-62.981	-62.9916	-63.0022
0.09	-62.9789	-62.9907	-63.0024
0.1	-62.9767	-62.9897	-63.0027
0.11	-62.9746	-62.9887	-63.0028
0.12	-62.9725	-62.9878	-63.003
0.13	-62.9703	-62.9868	-63.0032
0.14	-62.9682	-62.9858	-63.0034
0.15	-62.966	-62.9848	-63.0036
0.16	-62.9639	-62.9838	-63.0037
0.17	-62.9617	-62.9828	-63.0039
0.18	-62.9596	-62.9818	-63.004
0.19	-62.9574	-62.9808	-63.0042
0.2	-62.9553	-62.9798	-63.0043
0.21	-62.9531	-62.9788	-63.0044
0.22	-62.9509	-62.9778	-63.0045
0.23	-62.9488	-62.9767	-63.0047
0.24	-62.9466	-62.9757	-63.0048
0.25	-62.9444	-62.9747	-63.0049
0.26	-62.9422	-62.9736	-63.0049
0.27	-62.9401	-62.9726	-63.005
0.28	-62.9379	-62.9715	-63.0051
0.29	-62.9357	-62.9705	-63.0052
0.3	-62.9335	-62.9694	-63.0052
0.31	-62.9313	-62.9684	-63.0053
0.32	-62.9291	-62.9673	-63.0053
0.33	-62.9269	-62.9662	-63.0054
0.34	-62.9247	-62.9651	-63.0054
0.35	-62.9225	-62.9641	-63.0054
0.36	-62.9203	-62.963	-63.0055
0.37	-62.9181	-62.9619	-63.0055
0.38	-62.9159	-62.9608	-63.0055
0.39	-62.9137	-62.9597	-63.0055
0.4	-62.9115	-62.9586	-63.0055
0.41	-62.9093	-62.9575	-63.0055
0.42	-62.907	-62.9564	-63.0054
0.43	-62.9048	-62.9552	-63.0054
0.44	-62.9026	-62.9541	-63.0054
0.45	-62.9004	-62.953	-63.0053
0.46	-62.8981	-62.9518	-63.0053
0.47	-62.8959	-62.9507	-63.0052
0.48	-62.8937	-62.9496	-63.0052
0.49	-62.8914	-62.9484	-63.0051
0.5	-62.8892	-62.9473	-63.005
0.51	-62.8869	-62.9461	-63.0049
0.52	-62.8847	-62.9449	-63.0049
0.53	-62.8824	-62.9438	-63.0048
0.54	-62.8802	-62.9426	-63.0047
0.55	-62.8779	-62.9414	-63.0046
0.56	-62.8757	-62.9402	-63.0044
0.57	-62.8734	-62.9391	-63.0043
0.58	-62.8711	-62.9379	-63.0042
0.59	-62.8689	-62.9367	-63.0041
0.6	-62.8666	-62.9355	-63.0039
0.61	-62.8643	-62.9343	-63.0038
0.62	-62.8621	-62.9331	-63.0036
0.63	-62.8598	-62.9319	-63.0034
0.64	-62.8575	-62.9306	-63.0033
0.65	-62.8552	-62.9294	-63.0031
0.66	-62.8529	-62.9282	-63.0029
0.67	-62.8507	-62.927	-63.0027
0.68	-62.8484	-62.9257	-63.0025
0.69	-62.8461	-62.9245	-63.0023
0.7	-62.8438	-62.9232	-63.0021
0.71	-62.8415	-62.922	-63.0019
0.72	-62.8392	-62.9207	-63.0017
0.73	-62.8369	-62.9195	-63.0015
0.74	-62.8346	-62.9182	-63.0012
0.75	-62.8323	-62.917	-63.001
0.76	-62.8299	-62.9157	-63.0008
0.77	-62.8276	-62.9144	-63.0005
0.78	-62.8253	-62.9131	-63.0002
0.79	-62.823	-62.9119	-63
0.8	-62.8207	-62.9106	-62.9997
0.81	-62.8184	-62.9093	-62.9994
0.82	-62.816	-62.908	-62.9992
0.83	-62.8137	-62.9067	-62.9989
0.84	-62.8114	-62.9054	-62.9986
0.85	-62.809	-62.9041	-62.9983
0.86	-62.8067	-62.9028	-62.998
0.87	-62.8044	-62.9014	-62.9976
0.88	-62.802	-62.9001	-62.9973
0.89	-62.7997	-62.8988	-62.997
0.9	-62.7973	-62.8975	-62.9967
0.91	-62.795	-62.8961	-62.9963
0.92	-62.7926	-62.8948	-62.996
0.93	-62.7903	-62.8934	-62.9956
0.94	-62.7879	-62.8921	-62.9953
0.95	-62.7856	-62.8907	-62.9949
0.96	-62.7832	-62.8894	-62.9945
0.97	-62.7808	-62.888	-62.9942
0.98	-62.7785	-62.8867	-62.9938
0.99	-62.7761	-62.8853	-62.9934
1	-62.7737	-62.8839	-62.993
1.01	-62.7714	-62.8826	-62.9926
1.02	-62.769	-62.8812	-62.9922
1.03	-62.7666	-62.8798	-62.9918
1.04	-62.7642	-62.8784	-62.9914
1.05	-62.7619	-62.877	-62.9909
1.06	-62.7595	-62.8756	-62.9905
1.07	-62.7571	-62.8742	-62.9901
1.08	-62.7547	-62.8728	-62.9896
1.09	-62.7523	-62.8714	-62.9892
1.1	-62.7499	-62.87	-62.9887
1.11	-62.7475	-62.8686	-62.9883
1.12	-62.7451	-62.8671	-62.9878
1.13	-62.7427	-62.8657	-62.9873
1.14	-62.7403	-62.8643	-62.9868
1.15	-62.7379	-62.8629	-62.9864
1.16	-62.7355	-62.8614	-62.9859
1.17	-62.7331	-62.86	-62.9854
1.18	-62.7307	-62.8585	-62.9849
1.19	-62.7283	-62.8571	-62.9844
1.2	-62.7258	-62.8556	-62.9838
1.21	-62.7234	-62.8542	-62.9833
1.22	-62.721	-62.8527	-62.9828
1.23	-62.7186	-62.8512	-62.9823
1.24	-62.7161	-62.8498	-62.9817
1.25	-62.7137	-62.8483	-62.9812
1.26	-62.7113	-62.8468	-62.9806
1.27	-62.7089	-62.8453	-62.9801
1.28	-62.7064	-62.8439	-62.9795
1.29	-62.704	-62.8424	-62.979
1.3	-62.7015	-62.8409	-62.9784
1.31	-62.6991	-62.8394	-62.9778
1.32	-62.6967	-62.8379	-62.9772
1.33	-62.6942	-62.8364	-62.9766
1.34	-62.6918	-62.8349	-62.976
1.35	-62.6893	-62.8334	-62.9754
1.36	-62.6868	-62.8318	-62.9748
1.37	-62.6844	-62.8303	-62.9742
1.38	-62.6819	-62.8288	-62.9736
1.39	-62.6795	-62.8273	-62.973
